administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.18232155679395465,0.18232155679395465,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.295836866004329,6.776506992372183,0.0,0.025667746748577788,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
1.0986122886681098,4.609162207257629,0.0,0.0,2.995732273553991,5.910796644040527,0.03883602378519814,0.050693114315518116,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.044522437723423,7.267525427828172,0.024497471600387438,0.027615167032973367,1.0296194171811581,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,3.5263605246161616,6.543911845564792,0.014001519635813609,0.03149866705937099,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0.6931471805599453,4.1588830833596715,0.0,0.0,3.4011973816621555,6.363028103540465,0.019214218923804288,0.022739486969489426,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
1.3862943611198906,4.477336814478207,0.0,0.0,2.4849066497880004,7.244941546337007,0.0,0.02176149178151269,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
0.0,0.0,0.0,0.0,1.3862943611198906,2.8903717578961645,0.039220713153281295,0.11332868530700317,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
1.6094379124341003,2.8213788864092133,0.0,0.0,2.4849066497880004,5.831882477283517,0.0,0.01587334915629015,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.18232155679395465,0.18232155679395465,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.060443010546419,7.578656850594762,0.03739211921706267,0.05259245011917058,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.7612001156935624,7.2633296174768365,0.0,0.05259245011917058,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
1.6094379124341003,5.012300573415317,0.0,0.0,3.332204510175204,6.9957661563048505,0.0,0.009950330853168083,4.507557357121091,Mar,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,False,True
1.0986122886681098,4.873287102945032,0.0,0.0,2.6390573296152584,6.056784013228625,0.012422519998557155,0.037295784743696894,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.18232155679395465,0.18232155679395465,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
1.3862943611198906,5.861355861760962,0.0,0.0,3.5553480614894135,7.359467638255621,0.0,0.017839918128331,3.122364924487357,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,2.0794415416798357,6.1092475827643655,0.0,0.032467190137501496,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
1.3862943611198906,3.295836866004329,1.6094379124341003,5.771441123130016,4.0943445622221,7.803435056952168,0.002895803112025565,0.018821754240587758,0.0,Dec,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.70805020110221,7.221835825288449,0.0,0.037295784743696894,0.0,May,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.1780538303479458,6.714170529909472,0.004788516731797178,0.013902905168991422,0.0,Mar,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.6109179126442243,6.946013991099227,0.019214218923804288,0.014888612493750654,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
